SKU,Units,Retailer,StartDate,EndDate,SourceFile
BGC10,1.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
BGF10,3.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
BGM10,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
BGC25,1.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
BGF25,3.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
BGM25,5.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
CordMate-OG,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
CordMate-Pro,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
91-0-00-01,1.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
11-1-26-32,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
12-1-26-01,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
21-2-26-00,1.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
21-2-36-00,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
22-2-26-00,1.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
22-2-36-00,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
23-2-26-00,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
24-2-26-00,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
25-2-26-00,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
26-2-26-00,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
27-2-26-00,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
27-2-36-00,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
44-2-30-00,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EGL1,2.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EGLAI1,7.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
F15,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
F20,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZD17,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZD21,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZC17,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZC21,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZL17,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZL21,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZL21B,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZAA25,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZAA30,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZTHWF,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZTH,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
EZRMWF,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
RV21C,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
RV21D,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
F101-CBGRY,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
F101-CBBLU,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
F101-CBNVY,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
F101-CBORG,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
F101-CBPNK,0.0,Depot,2026-01-01,2026-01-02,APP 1-1 thru 1-2.xlsx
